AREA,PAIS,CONTINENTE,SUB_REGIAO,ISO,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,POPULACAO,URBANIZACAO,GINI,GASTOS_SAUDE,EXPECTATIVA_VIDA,DENSIDADE_MEDICOS,DENSIDADE_LEITOS_POR_MIL,PIB,CASOS,MORTES,CASOS_POR_MILHAO,MORTES_POR_MILHAO
9388211,CHINA,ASIA,EASTERN ASIA,CHN,82832536.0,80530944.0,77715286.0,74503800.0,85502189.0,101347754.0,126191430.0,99479184.0,92484264.0,114227816.0,118770840.0,95420349.0,72964803.0,69956093.0,45440868.0,27920363.0,17538651.0,8401852.0,2391229.0,370526.0,25200.0,1394015977.0,0.625,38.5,0.054000000000000006,76.31,1.98,4.3,22526502000000.0,119837,5621,81.5,3.8
2973190,INDIA,ASIA,SOUTHERN ASIA,IND,116320763.0,116134270.0,116406628.0,116858691.0,115304620.0,109224567.0,102428612.0,96469265.0,89655837.0,82377295.0,70962410.0,58373273.0,46518582.0,35362221.0,25140011.0,16061770.0,8403793.0,3200789.0,778026.0,104828.0,6996.0,1326093247.0,0.354,35.7,0.035,70.03,0.86,0.5,9155083000000.0,31216337,418480,22620.5,303.2
9147420,UNITED STATES,AMERICA DO NORTE,NORTHERN AMERICA,USA,20438539.0,20200409.0,20769978.0,21038355.0,21899476.0,23511987.0,22979416.0,21922009.0,20429786.0,20104631.0,20510406.0,21771752.0,21010792.0,18030171.0,14759266.0,10053038.0,6508211.0,3943281.0,2016964.0,648571.0,92064.0,332639102.0,0.8290000000000001,41.1,0.16899999999999998,80.43,2.61,,20524945000000.0,33828878,604252,102201.20000000001,1825.5
1811570,INDONESIA,ASIA,SOUTH-EASTERN ASIA,IDN,20478078.0,21201103.0,22058099.0,22512791.0,22234259.0,20550374.0,19563470.0,19746467.0,19650474.0,18844167.0,15304197.0,12950896.0,11050947.0,8286591.0,4935752.0,4053622.0,2280967.0,967794.0,307901.0,42888.0,5529.0,267026366.0,0.573,37.8,0.029,72.82,0.43,1.0,3196682000000.0,2983830,77583,10908.900000000001,283.6
770880,PAKISTAN,ASIA,SOUTHERN ASIA,PAK,29778193.0,28245207.0,26050219.0,23773611.0,21298570.0,18979815.0,16636153.0,14245798.0,12091648.0,10150106.0,8927907.0,7214091.0,5736558.0,4139271.0,2808436.0,1923304.0,1037243.0,374552.0,80029.0,9387.0,538.0,233500636.0,0.374,33.5,0.032,69.37,0.98,0.6,1015796000000.0,991727,22811,4489.599999999999,103.3
8358140,BRAZIL,AMERICA LATINA,SOUTH AMERICA,BRA,14309862.0,14719634.0,15668156.0,17007367.0,16997577.0,16401130.0,16852209.0,17196235.0,15700884.0,13911821.0,12737601.0,11427309.0,9286826.0,7231416.0,5250879.0,3485210.0,2117806.0,1005644.0,336958.0,65250.0,6199.0,211715973.0,0.873,53.9,0.095,74.98,2.16,2.1,3092216000000.0,19391845,542756,91230.20000000001,2553.4
910770,NIGERIA,AFRICA,WESTERN AFRICA,NGA,32867416.0,29467534.0,26911557.0,23851246.0,19530167.0,15584793.0,13470183.0,11892592.0,10028572.0,8081634.0,6437613.0,5028434.0,3813677.0,2876077.0,2065739.0,1265958.0,606377.0,202879.0,41245.0,4381.0,228.0,214028302.0,0.527,35.1,0.039,60.87,0.38,,1032048000000.0,169884,2128,824.0999999999999,10.3
130170,BANGLADESH,ASIA,SOUTHERN ASIA,BGD,14300676.0,14277217.0,14499332.0,14870280.0,15318140.0,13847840.0,12752878.0,11639991.0,10397171.0,9541909.0,8050121.0,6689387.0,5368294.0,4225952.0,3082714.0,2033117.0,1121967.0,477083.0,133196.0,21860.0,1728.0,162650853.0,0.389,32.4,0.023,74.43,0.58,0.8,775076000000.0,1136503,18498,6900.900000000001,112.30000000000001
16376870,RUSSIA,EUROPA,EASTERN EUROPE,RUS,7637530.0,8627222.0,8168156.0,7046736.0,6476110.0,8168157.0,12097170.0,11878173.0,10695407.0,9822977.0,8823480.0,10294200.0,9981827.0,8106547.0,5322828.0,2980521.0,3294269.0,1422930.0,720831.0,138949.0,18185.0,141722205.0,0.7490000000000001,37.5,0.053,72.16,3.75,8.1,3968180000000.0,6030240,150705,41321.6,1032.7
1943950,MEXICO,AMERICA LATINA,CENTRAL AMERICA,MEX,11223270.0,11170025.0,11067671.0,11002622.0,10829422.0,10483064.0,9973157.0,9042984.0,8435123.0,7996495.0,6897120.0,5885425.0,4777799.0,3426865.0,2546376.0,1850617.0,1188488.0,598357.0,209211.0,40960.0,4514.0,128649565.0,0.81,36.8,0.054000000000000006,76.94,2.38,1.5,2525481000000.0,2664444,236469,20665.4,1834.0
364555,JAPAN,ASIA,EASTERN ASIA,JPN,4790505.0,5270112.0,5610333.0,5746194.0,6143535.0,6122481.0,6530651.0,7454375.0,8239595.0,9449453.0,8387970.0,7721272.0,7413527.0,8359661.0,9119993.0,7181210.0,5378653.0,3782114.0,1992075.0,673178.0,140585.0,125507472.0,0.919,32.9,0.11,84.65,2.41,13.1,5231066000000.0,847614,15079,6701.799999999999,119.2
1000000,ETHIOPIA,AFRICA,EASTERN AFRICA,ETH,15855641.0,14395888.0,12787251.0,11338472.0,9709800.0,8599192.0,7582926.0,6515428.0,5282715.0,4229135.0,3378442.0,2690737.0,2093188.0,1551640.0,1056164.0,621029.0,299625.0,101881.0,21516.0,2354.0,126.0,108113150.0,0.222,35.0,0.033,67.9,0.08,0.3,248972000000.0,277877,4359,2417.1,37.9
298170,PHILIPPINES,ASIA,SOUTH-EASTERN ASIA,PHL,12092081.0,11791990.0,11508686.0,10894359.0,10029013.0,8964185.0,8143180.0,7380042.0,6481602.0,5343343.0,4492542.0,3746368.0,3003418.0,2253501.0,1454194.0,899257.0,472497.0,181075.0,43203.0,5863.0,416.0,109180815.0,0.477,44.4,0.044,70.32,0.6,1.0,963121000000.0,1517903,26844,13851.900000000001,245.0
995450,EGYPT,AFRICA,NORTHERN AFRICA,EGY,13510002.0,12047580.0,9444123.0,9193508.0,9562092.0,9394447.0,8295329.0,6633695.0,5755598.0,4918404.0,4411684.0,3562511.0,2770471.0,1958417.0,1273822.0,801728.0,403237.0,146848.0,36028.0,4626.0,290.0,104124440.0,0.429,31.5,0.05,74.01,0.45,1.4,1180890000000.0,283703,16446,2772.3,160.7
310070,VIETNAM,ASIA,SOUTH-EASTERN ASIA,VNM,7230008.0,7448117.0,7645657.0,7534468.0,7494107.0,8610599.0,8800086.0,8410216.0,7160467.0,6437665.0,5695962.0,5268568.0,4160423.0,2745003.0,1650119.0,1043185.0,762151.0,418921.0,163652.0,37043.0,4858.0,98721275.0,0.381,35.7,0.059,75.25,0.83,2.6,775669000000.0,65607,334,674.0,3.4000000000000004
2267050,DR CONGO,AFRICA,MIDDLE AFRICA,COD,18218457.0,15974604.0,13013293.0,10557592.0,9207935.0,7798366.0,6268160.0,5044705.0,4031659.0,3185869.0,2553606.0,1946541.0,1470155.0,1070488.0,734517.0,430874.0,194870.0,64297.0,12811.0,1390.0,74.0,101780263.0,0.462,42.1,0.033,61.43,0.07,,95291000000.0,46725,1018,521.7,11.399999999999999
769630,TURKEY,ASIA,WESTERN ASIA,TUR,6103912.0,6443321.0,6655087.0,6561482.0,6289396.0,6139156.0,6313104.0,6722290.0,6119702.0,5470766.0,4759042.0,4202299.0,3385525.0,2641932.0,1827729.0,1159399.0,723895.0,364069.0,117170.0,16955.0,1283.0,82017514.0,0.7659999999999999,41.9,0.041,75.96,1.85,2.8,2371374000000.0,5546166,50650,65760.3,600.6
1628550,IRAN,ASIA,SOUTHERN ASIA,IRN,7129219.0,6962185.0,6381468.0,5782851.0,5560744.0,7617982.0,8724849.0,8314210.0,6898920.0,5396027.0,4610434.0,3597370.0,2960124.0,2100044.0,1286720.0,790058.0,494379.0,237583.0,65934.0,11592.0,621.0,84923314.0,0.763,40.8,0.087,75.06,1.58,1.6,1027238000000.0,3548704,87374,42250.0,1040.3
348560,GERMANY,EUROPA,WESTERN EUROPE,DEU,3460896.0,3430925.0,3436892.0,3677824.0,4189059.0,4551949.0,5103606.0,4906098.0,4701761.0,5023693.0,6636638.0,6824744.0,5789166.0,4967012.0,3911232.0,3683372.0,3241912.0,1601991.0,749959.0,234078.0,36855.0,80159662.0,0.775,31.9,0.114,81.3,4.25,8.0,4482448000000.0,3748613,91416,45073.5,1099.2
510890,THAILAND,ASIA,SOUTH-EASTERN ASIA,THA,3722556.0,3765545.0,3858474.0,4186801.0,4795818.0,5192073.0,4790224.0,5274495.0,5586112.0,5390978.0,5285054.0,4837661.0,4137217.0,3032213.0,2109246.0,1416801.0,953769.0,468568.0,147061.0,24473.0,2261.0,68977400.0,0.522,36.4,0.038,77.41,0.81,2.1,1285287000000.0,439477,3610,6296.2,51.7
241930,UNITED KINGDOM,EUROPA,NORTHERN EUROPE,GBR,3899509.0,3876406.0,3819300.0,3589804.0,3963029.0,4381974.0,4549283.0,4314100.0,3956552.0,4233279.0,4652375.0,4533951.0,3840128.0,3257115.0,3256572.0,2288775.0,1619695.0,1001066.0,508625.0,181319.0,38260.0,65761117.0,0.8420000000000001,34.8,0.1,81.3,2.81,2.5,3118396000000.0,5519606,128823,81307.0,1897.6
547557,FRANCE,EUROPA,WESTERN EUROPE,FRA,4072165.0,4180021.0,4201899.0,4101665.0,3960254.0,3920974.0,4037397.0,4098391.0,3992369.0,4491352.0,4445286.0,4343289.0,4118547.0,3903382.0,3590194.0,2260466.0,1853166.0,1365111.0,682616.0,204726.0,24886.0,67848156.0,0.812,31.6,0.113,82.39,3.27,6.0,3097061000000.0,5770302,110534,88720.20000000001,1699.5
294140,ITALY,EUROPA,SOUTHERN EUROPE,ITA,2661512.0,2796052.0,2932599.0,2957462.0,3037704.0,3315948.0,3545863.0,3946177.0,4516718.0,5106839.0,5067833.0,4740561.0,3996755.0,3495503.0,3320370.0,2534457.0,2114250.0,1335855.0,688561.0,248544.0,43096.0,62402659.0,0.713,35.9,0.087,82.67,3.98,3.2,2562135000000.0,4293083,127884,71981.5,2144.2
885800,TANZANIA,AFRICA,EASTERN AFRICA,TZA,9242721.0,8254793.0,7504373.0,6554783.0,5381559.0,4432053.0,3810018.0,3236004.0,2708737.0,2069975.0,1491022.0,1146195.0,915773.0,706299.0,508899.0,327596.0,174535.0,68661.0,16513.0,2180.0,156.0,58552845.0,0.36,40.5,0.036000000000000004,69.9,0.01,0.7,149785000000.0,509,21,8.5,0.4
1213090,SOUTH AFRICA,AFRICA,SOUTHERN AFRICA,ZAF,5336576.0,5315208.0,5126224.0,4742237.0,4742687.0,5101818.0,5451676.0,4592001.0,3542289.0,2852710.0,2384140.0,2069529.0,1770361.0,1371036.0,966366.0,612496.0,332800.0,120868.0,28798.0,3566.0,231.0,56463617.0,0.6779999999999999,63.0,0.083,65.04,0.91,2.3,730913000000.0,2311232,67676,38969.5,1141.1
653290,MYANMAR,ASIA,SOUTH-EASTERN ASIA,MMR,4760881.0,4990500.0,4946821.0,4789859.0,4831675.0,4736446.0,4386918.0,4413155.0,3996304.0,3502107.0,3164523.0,2610544.0,2041753.0,1417579.0,926293.0,600527.0,318249.0,121825.0,29966.0,3896.0,250.0,56590071.0,0.314,30.7,0.048,69.62,0.68,1.0,277909000000.0,246663,5814,4533.4,106.89999999999999
569140,KENYA,AFRICA,EASTERN AFRICA,KEN,6949387.0,6892673.0,6881169.0,6058220.0,4888793.0,4029157.0,3832192.0,3567116.0,2923427.0,2106317.0,1609944.0,1232907.0,913600.0,672937.0,452397.0,284063.0,154624.0,61423.0,15375.0,2080.0,135.0,53527936.0,0.285,40.8,0.052000000000000005,69.32,0.16,1.4,227638000000.0,193807,3800,3604.3,70.7
97230,SOUTH KOREA,ASIA,EASTERN ASIA,KOR,2118262.0,2246735.0,2256407.0,2497773.0,3297114.0,3648408.0,3316667.0,3939603.0,3919414.0,4191968.0,4134493.0,4176836.0,3839693.0,2709446.0,2004455.0,1502437.0,1108107.0,611570.0,234789.0,68608.0,12325.0,51835110.0,0.8140000000000001,35.4,0.076,82.78,2.36,12.3,2211315000000.0,182265,2060,3555.1,40.199999999999996
1109500,COLOMBIA,AMERICA LATINA,SOUTH AMERICA,COL,3758083.0,3799412.0,3863052.0,3940464.0,4097827.0,4146772.0,3902618.0,3445038.0,3078514.0,3028373.0,3034624.0,2685175.0,2188703.0,1614217.0,1090339.0,700366.0,418290.0,204407.0,71484.0,15301.0,1782.0,49084841.0,0.8170000000000001,50.4,0.076,76.91,2.19,1.7,741099000000.0,4655921,116753,91502.70000000001,2294.5
498800,SPAIN,EUROPA,SOUTHERN EUROPE,ESP,2282517.0,2546567.0,2682523.0,2532968.0,2417034.0,2634015.0,3037298.0,3595090.0,4304196.0,4320421.0,3918859.0,3489159.0,3007744.0,2503177.0,2230549.0,1746958.0,1265963.0,945855.0,422256.0,115561.0,17082.0,50015792.0,0.8109999999999999,34.7,0.09,82.21,3.87,3.0,1925576000000.0,4189136,81148,88504.2,1714.4
199810,UGANDA,AFRICA,EASTERN AFRICA,UGA,8263798.0,6734072.0,5855919.0,4906246.0,3851683.0,3167823.0,2598274.0,1946744.0,1495303.0,1205228.0,936502.0,730304.0,529858.0,371537.0,288919.0,198954.0,113784.0,44183.0,12002.0,1725.0,108.0,43252966.0,0.256,42.8,0.065,68.58,0.17,0.5,96838000000.0,90910,2412,1987.5,52.699999999999996
2736690,ARGENTINA,AMERICA LATINA,SOUTH AMERICA,ARG,3651814.0,3703234.0,3568863.0,3515740.0,3390602.0,3352209.0,3287777.0,3216071.0,3170627.0,2683023.0,2298982.0,2137555.0,1985680.0,1760444.0,1408367.0,1030300.0,700481.0,402696.0,167972.0,41426.0,5255.0,45479118.0,0.922,41.4,0.096,78.07,3.99,5.0,991523000000.0,4769142,101955,105521.90000000001,2255.9
2381740,ALGERIA,AFRICA,NORTHERN AFRICA,DZA,4411359.0,4453376.0,3846205.0,3036987.0,2949353.0,3560644.0,3578817.0,3519511.0,3086863.0,2521873.0,2169847.0,1794179.0,1390423.0,1005956.0,689153.0,425679.0,286939.0,167387.0,61639.0,14318.0,2370.0,42972878.0,0.743,27.6,0.062,77.79,1.72,1.9,495564000000.0,154486,3956,3523.0,90.19999999999999
1765048,SUDAN,AFRICA,NORTHERN AFRICA,SDN,6949349.0,6262148.0,5930428.0,5358118.0,4182449.0,3311132.0,2833001.0,2343350.0,1955186.0,1717436.0,1459703.0,1091864.0,788457.0,554844.0,369435.0,236747.0,138220.0,60037.0,16867.0,2583.0,202.0,45561556.0,0.35600000000000004,34.2,0.045,66.79,0.26,0.7,168280000000.0,37138,2776,846.9,63.3
579320,UKRAINE,EUROPA,EASTERN EUROPE,UKR,2239984.0,2474130.0,2382900.0,1965716.0,2109227.0,2758456.0,3566574.0,3631612.0,3281131.0,3109572.0,2828318.0,3070423.0,3023757.0,2492020.0,1884451.0,1148159.0,1258483.0,419476.0,231348.0,44772.0,2430.0,43922939.0,0.698,26.1,0.077,73.18,2.99,7.5,538388000000.0,2245930,52769,51354.6,1206.6
434320,IRAQ,ASIA,WESTERN ASIA,IRQ,4885578.0,4896541.0,4609154.0,4140946.0,3565644.0,3019970.0,2895505.0,2532821.0,2120989.0,1786297.0,1478843.0,980748.0,663786.0,578632.0,349989.0,204654.0,104702.0,42581.0,13520.0,1697.0,58.0,38872655.0,0.711,29.5,0.041,72.9,0.71,1.3,427736000000.0,1501595,17892,37332.2,444.79999999999995
652860,AFGHANISTAN,ASIA,SOUTHERN ASIA,AFG,5672736.0,4897366.0,4314247.0,3878103.0,3910611.0,3178442.0,2486682.0,1855834.0,1586014.0,1343212.0,1070378.0,838803.0,630704.0,445808.0,286601.0,157984.0,66960.0,19523.0,3456.0,334.0,17.0,36643815.0,0.263,29.4,0.094,53.25,0.28,0.4,78557000000.0,142414,6266,3658.3999999999996,161.0
306230,POLAND,EUROPA,EASTERN EUROPE,POL,1794234.0,1929136.0,1952116.0,1773595.0,1978936.0,2437292.0,2796940.0,3276325.0,3098030.0,2717895.0,2261181.0,2366239.0,2733750.0,2514115.0,1864917.0,1029307.0,871301.0,552718.0,254968.0,70165.0,9165.0,38282325.0,0.601,29.7,0.063,78.53,2.38,6.6,1261433000000.0,2881718,75222,75918.3,1981.6999999999998
9093510,CANADA,AMERICA DO NORTE,NORTHERN AMERICA,CAN,1932416.0,2024762.0,2068783.0,1999964.0,2199113.0,2528120.0,2612321.0,2586870.0,2459936.0,2362461.0,2456583.0,2740883.0,2566449.0,2161388.0,1786512.0,1215414.0,836003.0,597474.0,346223.0,138081.0,74329.0,37694085.0,0.8170000000000001,33.3,0.108,83.62,2.31,2.5,1843053000000.0,1423889,26504,37726.799999999996,702.2
